machine_id,maintenance_rate
43,0.21511017838405036
50,0.21443514644351463
24,0.21068548387096775
32,0.20974889217134415
5,0.2094958394517866
29,0.2089041095890411
30,0.20877531340405014
6,0.20837642192347466
42,0.2065378900445765
4,0.2060878243512974
9,0.20542440984429935
26,0.2049538610976202
45,0.20384615384615384
28,0.20361328125
1,0.2035490605427975
33,0.2034764826175869
44,0.2030185004868549
2,0.20186183243508085
15,0.20128268376911693
47,0.19990004997501248
36,0.19904076738609114
35,0.1986408782017773
18,0.1984244214672575
46,0.19822175732217573
22,0.19596258000984737
48,0.195821185617104
49,0.19538461538461538
17,0.19408054342552158
23,0.19407265774378585
39,0.19367787255393878
38,0.1933916423712342
7,0.19287531806615776
27,0.19264179867143588
14,0.19216898505924782
12,0.1918158567774936
8,0.1916624300965938
13,0.1906862745098039
16,0.19054726368159203
34,0.1904517453798768
3,0.1904047976011994
31,0.19037765131919296
25,0.1896896896896897
40,0.1874062968515742
11,0.18554587391081498
37,0.18533604887983707
20,0.1847715736040609
21,0.18421052631578946
10,0.1805143422354105
19,0.17864271457085829
41,0.17287630402384502
